kissa gatto
koira cane
hevonen cavallo
ehmä mucca
ana gallina
nkka anatra
ammas pecora
ika maiale
ksi uno
kaksi due
kolme tre
neljä quattro
viisi cinque
kuusi sei
seitsemän sette
kahdeksan otto
yhdeksän nove
kymmenen dieci
punainen rosso
inen blu
vihreä verde
keltainen giallo
musta nero
valkoinen bianco
harmaa grigio
oranssi arancione
violetti viola
ruskea marrone
omena mela
banaani banana
appelsiini arancia
mansikka fragola
vesimeloni anguria
tomaatti pomodoro
kurkku cetriolo
porkkana carota
peruna patata
sipuli cipolla
salaatti lattuga
paprika peperone
ravintola ristorante
kahvila caffè
koulu scuola
yliopisto universit�
kirjasto biblioteca
sairaala ospedale
apteekki farmacia
päivä giorno
yö notte
aamu mattina
ilta sera
viikko settimana
kuukausi mese
vuosi anno
tänään oggi
huomenna domani
eilen ieri
kyllä sì
ei no
ehkä forse
kiitos grazie
anteeksi scusa
hei ciao
näkemiin arrivederci
rakastan amo
vihaan odio
iso grande
pieni piccolo
kuuma caldo
kylmä freddo
uusi nuovo
vanha vecchio
hyvä buono
huono cattivo
kaunis bello
ruma brutto
helppo facile
vaikea difficile
nopea veloce
hidas lento
rikas ricco
köyhä povero
terve sano
sairas malato
hauska divertente
tylsä noioso
kallis costoso
halpa economico
järvi lago
metsä foresta
vuori montagna
joki fiume
meri mare
taivas cielo
tähti stella
aurinko sole
kukka fiore
puu albero
lehti rivista
sade pioggia
lumi neve
tuuli vento
myrsky tempesta
kirja libro
sanomalehti giornale
kynä penna
paperi carta nonno molo
papero rana
